"timestamp","snapshotDate","pkg","bytes"
2020-03-09 10:29:13,"2020-03-09","knitr","1381185"
2020-03-10 13:04:53,"2020-03-09","knitr","1381185"
2020-03-10 15:42:56,"2020-03-09","sensobol","669350"
2020-03-28 18:57:16,"2020-03-09","data.table","2133679"
2020-03-28 18:57:19,"2020-03-09","devtools","348682"
2020-03-28 18:57:23,"2020-03-09","randtoolbox","1461178"
2020-03-28 19:03:46,"2020-03-09","Rfast","311954"
2020-03-29 09:19:47,"2020-03-09","remotes","356824"
2020-03-29 09:19:52,"2020-03-09","sensitivity","798645"
2020-04-04 13:32:18,"2020-03-09","reticulate","1504849"
